VALUE,DATE,HOUR
223917,21.01.2009 0:00:00.000000,13
223581,21.01.2009 0:00:00.000000,14
224872,21.01.2009 0:00:00.000000,15
228503,21.01.2009 0:00:00.000000,16
227799,21.01.2009 0:00:00.000000,17
227404,21.01.2009 0:00:00.000000,18
227337,21.01.2009 0:00:00.000000,19
228302,21.01.2009 0:00:00.000000,20
225108,21.01.2009 0:00:00.000000,21
221789,21.01.2009 0:00:00.000000,22
221640,21.01.2009 0:00:00.000000,23
220554,21.01.2009 0:00:00.000000,24
218540,22.01.2009 0:00:00.000000,1
217208,22.01.2009 0:00:00.000000,2
216078,22.01.2009 0:00:00.000000,3
215400,22.01.2009 0:00:00.000000,4
215406,22.01.2009 0:00:00.000000,5
215916,22.01.2009 0:00:00.000000,6
218319,22.01.2009 0:00:00.000000,7
222177,22.01.2009 0:00:00.000000,8
223512,22.01.2009 0:00:00.000000,9
223126,22.01.2009 0:00:00.000000,10
223178,22.01.2009 0:00:00.000000,11
221958,22.01.2009 0:00:00.000000,12
217070,22.01.2009 0:00:00.000000,13
218114,22.01.2009 0:00:00.000000,14
223564,22.01.2009 0:00:00.000000,15
222399,22.01.2009 0:00:00.000000,16
222051,22.01.2009 0:00:00.000000,17
221239,22.01.2009 0:00:00.000000,18
220081,22.01.2009 0:00:00.000000,19
217827,22.01.2009 0:00:00.000000,20
217543,22.01.2009 0:00:00.000000,21
216418,22.01.2009 0:00:00.000000,22
213138,22.01.2009 0:00:00.000000,23
210757,22.01.2009 0:00:00.000000,24
208473,23.01.2009 0:00:00.000000,1
205443,23.01.2009 0:00:00.000000,2
204791,23.01.2009 0:00:00.000000,3
203569,23.01.2009 0:00:00.000000,4
203375,23.01.2009 0:00:00.000000,5
202904,23.01.2009 0:00:00.000000,6
204522,23.01.2009 0:00:00.000000,7
206588,23.01.2009 0:00:00.000000,8
212370,23.01.2009 0:00:00.000000,9
214046,23.01.2009 0:00:00.000000,10
215193,23.01.2009 0:00:00.000000,11
216272,23.01.2009 0:00:00.000000,12
214954,23.01.2009 0:00:00.000000,13
216447,23.01.2009 0:00:00.000000,14
214054,23.01.2009 0:00:00.000000,15
215737,23.01.2009 0:00:00.000000,16
212484,23.01.2009 0:00:00.000000,17
216137,23.01.2009 0:00:00.000000,18
215977,23.01.2009 0:00:00.000000,19
213950,23.01.2009 0:00:00.000000,20
212470,23.01.2009 0:00:00.000000,21
211989,23.01.2009 0:00:00.000000,22
210963,23.01.2009 0:00:00.000000,23
211336,23.01.2009 0:00:00.000000,24
210567,24.01.2009 0:00:00.000000,1
207523,24.01.2009 0:00:00.000000,2
206321,24.01.2009 0:00:00.000000,3
206060,24.01.2009 0:00:00.000000,4
206404,24.01.2009 0:00:00.000000,5
205330,24.01.2009 0:00:00.000000,6
206166,24.01.2009 0:00:00.000000,7
207895,24.01.2009 0:00:00.000000,8
